Corrida,Fitness,Tiempo (s),Iteraciones,BLOSUM Score
1,1905.17,26.4266,50,11431.0
2,1871.17,26.3059,50,11227.0
3,1890.5,26.4571,50,11343.0
4,1830.5,26.1796,50,10983.0
5,1877.5,26.4954,50,11265.0
6,1841.83,26.3456,50,11051.0
7,1895.33,26.4132,50,11372.0
8,1869.83,26.1461,50,11219.0
9,1817.67,26.3745,50,10906.0
10,1859.17,26.4568,50,11155.0
11,1835.33,27.0854,50,11012.0
12,1827.0,26.3773,50,10962.0
13,1974.0,26.1695,50,11844.0
14,1919.83,26.5368,50,11519.0
15,1974.33,26.4621,50,11846.0
16,1869.67,26.3816,50,11218.0
17,1863.17,26.7711,50,11179.0
18,1860.33,26.3945,50,11162.0
19,1824.17,26.3681,50,10945.0
20,1913.33,26.4688,50,11480.0
21,1831.0,26.5697,50,10986.0
22,1860.17,26.0861,50,11161.0
23,1873.5,26.3554,50,11241.0
24,1899.17,26.3281,50,11395.0
25,1823.0,26.3846,50,10938.0
26,1839.33,26.4887,50,11036.0
27,1847.0,26.0339,50,11082.0
28,1843.17,26.835,50,11059.0
29,1857.5,27.4951,50,11145.0
30,1869.67,26.1457,50,11218.0
